run.order.file,run.system.seconds_since_epoch,run.system.time,trial.staircase.durationFrames,trial.staircase.thisTrialN,trial.system.seconds_since_epoch,trial.system.time,trial.number,time.onset,trial.response,trial.staircase_stim_duration,trial.rt,trial.stim_duration,trial.should_nudge,trial.reward,total_earnings,fix.after.feedback.adjusted,time.trial,time.run,time.global,subid,session,run,trial.type,fix.after.cue,fix.after.stim,fix.after.feedback,trial.cue_rt,trial.too_fast_rt,participant,session,fMRI? (yes or no),fMRI trigger on TTL? (yes or no),fMRI reverse screen? (yes or no),use ranged rewards?,use nudge for final run?,do only a single behavioral practice run?,start run (0-3),staircase start reward.low,staircase start reward.high,staircase start neutral,staircase start loss.low,staircase start loss.high,date,expName,frameRate,
,,,11,4,1650892867.3552587,Mon Apr 25 15:21:07 2022,28,598.1800088998862,1,0.2833333333333333,0.28388290014117956,0.28388290014117956,False,10,240,4.618815658148378,13.883726600091904,390.09048740006983,612.0637294999324,5,1,1,reward.low,2.487962164974306,2.227501795394346,4.402698558289558,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,14,8,1650892881.2384956,Mon Apr 25 15:21:21 2022,29,612.0637849001214,1,0.33333333333333337,0.333419700153172,0.333419700153172,False,0,240,3.346936709713191,12.799862700048834,402.8904090002179,624.8636495000683,5,1,1,neutral,2.6255146620678715,2.2755264958250336,3.180356409866363,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,14,9,1650892894.0389767,Mon Apr 25 15:21:34 2022,30,624.8636949998327,1,0.33333333333333337,0.3330340003594756,0.3330340003594756,False,0,240,18.166965999640524,27.634415400214493,430.524873400107,652.4981141998433,5,1,1,neutral,2.615973222476896,2.3098291593487374,18,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
C:\Users\Lab\Desktop\MID\orders\1034.csv,1650892966.1159315,Mon Apr 25 15:22:46 2022,,,,,,,,,,,,,,,,,,,1,,,,,,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,11,5,1650892971.124622,Mon Apr 25 15:22:51 2022,31,701.9494062997401,1,0.2833333333333333,0.2837797002866864,0.2837797002866864,False,10,250,3.4399257698096335,13.233638899866492,18.24213230004534,715.1830473998562,5,1,2,reward.low,2.6775126488064416,2.5740525328437798,3.22370547009632,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,14,5,1650892984.3584325,Mon Apr 25 15:23:04 2022,32,715.1830850001425,1,0.33333333333333337,0.31692220037803054,0.31692220037803054,False,70,320,4.034695479087532,13.434109900146723,31.676285600289702,728.6172023001127,5,1,2,reward.high,2.446331720217131,2.4182149167754687,3.851617679465562,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,12,5,1650892997.79246,Mon Apr 25 15:23:17 2022,33,728.6172551000491,1,0.30000000000000004,0.30051099974662066,0.30051099974662066,False,0,320,4.288998641539365,13.283381100278348,44.95972360018641,741.9006392001174,5,1,2,loss.low,2.105021527793724,2.3321484902407974,4.089509641285986,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,10,6,1650893011.075403,Mon Apr 25 15:23:31 2022,34,741.900683300104,0,0.26666666666666666,,0.26666666666666666,False,0,320,3.3562119067646563,13.300330899655819,58.26010229997337,755.2010172000155,5,1,2,reward.low,2.647419962042477,2.735350033501163,3.3562119067646563,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,12,5,1650893024.376288,Mon Apr 25 15:23:44 2022,35,755.2010901998729,1,0.30000000000000004,0.28391960030421615,0.28391960030421615,False,0,320,4.591754928231239,13.950095099862665,72.21027400018647,769.1511890999973,5,1,2,loss.high,2.547734331630636,2.2661177600966766,4.3756745285354555,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,13,10,1650893038.3258216,Mon Apr 25 15:23:58 2022,36,769.1512269000523,1,0.31666666666666665,0.3002661997452378,0.3002661997452378,False,0,320,4.278401330113411,14.167339600156993,86.37765470007434,783.318569699768,5,1,2,neutral,2.699366988206748,2.653553388779983,4.078667529858649,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
